at,dvc,DD,E,NegE,AC,current_ratio,debt_to_equity,roe,asset_turnover,tic,cik,fyear,mrk_eq,E_1,csho,sentiment
8772.719,131.625,1,263.541,0,-356.615,2.0997801,1.441050077,0.133497967,0.186935658,EQT,33213,2011,7848063600,191.773,149.477,Uncertainty
8849.862,131.803,1,191.773,0,-611.829,1.494999693,1.275729646,0.047159768,0.185495322,EQT,33213,2012,8021707250,279.111,150.109,Uncertainty
9792.053,18.094,1,279.111,0,-877.1,2.398549894,1.013115814,0.080296407,0.190155323,EQT,33213,2013,11940025950,618.787,150.884,Uncertainty
12064.9,18.207,1,618.787,0,-404.446,2.284788219,0.893108541,0.060718841,0.20470207,EQT,33213,2014,16222181900,85.171,151.596,Uncertainty
13976.172,18.31,1,85.171,0,-832.784,2.828556493,0.740919143,0.010609187,0.16741079,EQT,33213,2015,12391823640,-452.983,152.554,Uncertainty
15472.922,20.156,1,-452.983,1,-1435.296,2.272095596,0.696732417,-0.04967329,0.103945977,EQT,33213,2016,13375025910,1766.451,172.827,Uncertainty
29522.604,20.827,1,1766.451,0,-908.765,0.94385658,0.603216098,0.081920212,0.114421309,EQT,33213,2017,10154584440,937.875,264.32,Uncertainty
20721.344,31.375,1,937.875,0,-1089.112,0.836375016,0.890939129,-0.204829448,0.219960057,EQT,33213,2018,14649848560,468.436,254.472,Uncertainty
1066.562,0,0,78.779,0,-43.033,5.452110311,0.520115958,0.08641282,0.729638783,CMTL,23197,2010,847318300,53.395,28.332,Negative
937.509,26.235,1,53.395,0,-37.756,7.527457655,0.490048953,0.107910296,0.653197996,CMTL,23197,2011,730161600,36.713,24.223,Uncertainty
719.778,21.298,1,36.713,0,-22.775,6.253414796,0.676237363,0.075491208,0.590557088,CMTL,23197,2012,513296800,14.999,17.368,Negative
681.815,18.637,1,14.999,0,-16.574,1.819648372,0.687401933,0.044072444,0.469037789,CMTL,23197,2013,441130450,24.856,16.458,Uncertainty
473.852,18.993,1,24.856,0,-6.768,4.394210431,0.193807394,0.063364615,0.732612715,CMTL,23197,2014,598549220,23.83,16.159,Uncertainty
473.877,19.63,1,23.83,0,2.574,4.674697297,0.180534069,0.057908517,0.6484573,CMTL,23197,2015,468256950,13.179,16.132,Negative
921.196,21.704,1,13.179,0,-41.364,1.648903587,0.958320667,-0.016449795,0.446163466,CMTL,23197,2016,299377440,3.807,23.335,Negative
832.063,14.307,1,3.807,0,-31.732,1.671467502,0.732923045,0.032962616,0.661449914,CMTL,23197,2017,447122900,29.769,23.586,Negative
845.157,9.711,1,29.769,0,-17.482,1.692473808,0.671314497,0.05886878,0.675127816,CMTL,23197,2018,753706960,38.649,23.827,Negative
331.747,0,0,27.952,0,0.298,4.798901842,0.259154812,0.098338318,0.881705034,AVAV,1368622,2010,472692690,30.451,21.95,Negative
369.151,0,0,30.451,0,22.056,4.42302802,0.233801697,0.101775413,0.880420207,AVAV,1368622,2011,775932500,10.426,22.244,Negative
363.465,0,0,10.426,0,-23.723,6.244909569,0.15317622,0.03307888,0.660729369,AVAV,1368622,2012,585502740,18.835,22.614,Negative
384.954,0,0,18.835,0,-10.335,8.131893468,0.124061588,0.040056414,0.653852149,AVAV,1368622,2013,456350520,5.933,23.177,Negative
397.467,0,0,5.933,0,-25.682,7.040376591,0.139161164,0.008297221,0.652627765,AVAV,1368622,2014,723958800,5.359,23.315,Negative
410.393,0,0,5.359,0,16.339,7.54564678,0.13600454,0.02481869,0.643524622,AVAV,1368622,2015,608472480,11.969,23.36,Negative
